代码,证券简称,相关资料, 融资余额(元) ,融券余额(元),融资买入额(元),融资偿还额(元),融资净买额(元),融券余量,融券卖出量,融券偿还量,融资融券余额(元)
512070,非银ETF,详细数据 资金流, 820.60 万 ,0,7.88 万,3.14 万,4.74 万,0,0,0,820.60 万
510330,华夏300,详细数据 资金流, 268.49 万 ,14.40 万,3.07 万,1,3.07 万,3.62 万,0,0,282.90 万
600077,宋都股份,详细 数据 资金流, 5.61 亿 ,1.61 万,748.06 万,746.41 万,1.65 万,4000,4000,0,5.61 亿
510810,上海国企,详细数据 资金流, 568.67 万 ,0,1.85 万,2.06 万,-2082,0,0,0,568.67 万
600398,海澜之家,详细 数据 资金流, 3.00 亿 ,2772,829.44 万,830.49 万,-1.06 万,300,300,0,3.00 亿
601881,中国银河,详细 数据 资金流, 1.14 亿 ,22.78 万,4747.11 万,4752.64 万,-5.53 万,2.00 万,0,0,1.14 亿
601789,宁波建工,详细 数据 资金流, 4.49 亿 ,5.33 万,2278.68 万,2292.69 万,-14.02 万,1.12 万,1.12 万,0,4.49 亿
600673,东阳光科,详细 数据 资金流, 13.25 亿 ,19.61 万,0,17.92 万,-17.92 万,2.69 万,0,0,13.25 亿
600223,鲁商置业,详细 数据 资金流, 3.54 亿 ,7293,777.75 万,797.69 万,-19.94 万,1700,0,0,3.54 亿
600485,信威集团,详细 数据 资金流, 1.51 亿 ,257.66 万,0,20.40 万,-20.40 万,17.66 万,0,0,1.54 亿
600559,老白干酒,详细 数据 资金流, 1.31 亿 ,12.82 万,0,22.04 万,-22.04 万,5650,0,0,1.31 亿
600987,航民股份,详细 数据 资金流, 2.19 亿 ,18.69 万,1339.63 万,1365.03 万,-25.40 万,1.49 万,1700,0,2.19 亿
601886,江河集团,详细 数据 资金流, 7.41 亿 ,35.46 万,3598.85 万,3630.48 万,-31.63 万,3.78 万,3.78 万,3900,7.41 亿
600199,金种子酒,详细 数据 资金流, 3.37 亿 ,797,3338.84 万,3370.64 万,-31.80 万,100,0,0,3.37 亿
601717,郑煤机,详细 数据 资金流, 3.91 亿 ,0,0,35.33 万,-35.33 万,0,0,0,3.91 亿
600563,法拉电子,详细 数据 资金流, 2.89 亿 ,24.68 万,2133.03 万,2169.79 万,-36.75 万,4978,4900,0,2.89 亿
600146,商赢环球,详细 数据 资金流, 3.78 亿 ,0,0,39.39 万,-39.39 万,0,0,0,3.78 亿
600064,南京高科,详细 数据 资金流, 3.75 亿 ,11.60 万,1764.91 万,1805.37 万,-40.46 万,8000,4000,0,3.75 亿
600086,东方金钰,详细 数据 资金流, 5.37 亿 ,38.52 万,1569.91 万,1612.53 万,-42.62 万,3.59 万,1.05 万,0,5.37 亿
601139,深圳燃气,详细 数据 资金流, 1.33 亿 ,1.51 万,206.63 万,249.96 万,-43.32 万,1800,0,0,1.33 亿
600616,金枫酒业,详细 数据 资金流, 4.51 亿 ,21.23 万,1767.43 万,1810.86 万,-43.43 万,2.16 万,2.16 万,1000,4.51 亿
601126,四方股份,详细 数据 资金流, 2.81 亿 ,0,1220.96 万,1268.26 万,-47.30 万,0,0,0,2.81 亿
600609,金杯汽车,详细 数据 资金流, 3.84 亿 ,31.51 万,0,47.91 万,-47.91 万,3.90 万,0,0,3.84 亿
601158,重庆水务,详细 数据 资金流, 2.42 亿 ,0,746.96 万,797.20 万,-50.23 万,0,0,0,2.42 亿
600193,创兴资源,详细 数据 资金流, 3.20 亿 ,8720,0,50.39 万,-50.39 万,1288,0,0,3.20 亿
510310,HS300ETF,详细数据 资金流, 330.66 万 ,0,57.01 万,107.57 万,-50.56 万,0,0,0,330.66 万
600998,九州通,详细 数据 资金流, 2.52 亿 ,20.61 万,814.60 万,868.04 万,-53.44 万,1.05 万,4000,8800,2.53 亿
600797,浙大网新,详细 数据 资金流, 9.55 亿 ,17.32 万,7504.41 万,7563.75 万,-59.34 万,1.54 万,1.54 万,1000,9.55 亿
601928,凤凰传媒,详细 数据 资金流, 4.98 亿 ,48.38 万,1230.39 万,1296.45 万,-66.06 万,5.34 万,3.34 万,1.60 万,4.98 亿
601179,中国西电,详细 数据 资金流, 6.39 亿 ,5.36 万,2492.35 万,2585.33 万,-92.98 万,1.00 万,0,0,6.39 亿
601880,大连港,详细 数据 资金流, 3.75 亿 ,186.99 万,1487.93 万,1589.20 万,-101.27 万,64.48 万,20.00 万,3200,3.77 亿
601001,大同煤业,详细 数据 资金流, 2.91 亿 ,6.30 万,0,102.65 万,-102.65 万,1.20 万,0,0,2.91 亿
510180,180ETF,详细数据 资金流, 3.25 亿 ,495.65 万,88.23 万,199.63 万,-111.41 万,149.34 万,16.82 万,17.34 万,3.30 亿
600261,阳光照明,详细 数据 资金流, 2.62 亿 ,18.11 万,699.46 万,812.99 万,-113.54 万,2.93 万,2000,0,2.62 亿
600624,复旦复华,详细 数据 资金流, 4.83 亿 ,0,1450.07 万,1565.75 万,-115.68 万,0,0,0,4.83 亿
600643,爱建集团,详细 数据 资金流, 6.50 亿 ,47.83 万,0,118.27 万,-118.27 万,3.19 万,0,0,6.50 亿
600653,申华控股,详细 数据 资金流, 4.18 亿 ,0,0,123.68 万,-123.68 万,0,0,0,4.18 亿
600386,北巴传媒,详细 数据 资金流, 4.46 亿 ,17.96 万,1377.96 万,1503.18 万,-125.22 万,1.45 万,1.39 万,1.39 万,4.46 亿
600490,鹏欣资源,详细 数据 资金流, 11.95 亿 ,10.75 万,0,128.95 万,-128.95 万,1.36 万,0,0,11.95 亿
600200,江苏吴中,详细 数据 资金流, 8.41 亿 ,49.72 万,3752.57 万,3883.17 万,-130.60 万,3.88 万,3.86 万,3.34 万,8.41 亿
601801,皖新传媒,详细 数据 资金流, 5.03 亿 ,155.76 万,2965.70 万,3096.70 万,-131.01 万,12.51 万,2.48 万,0,5.05 亿
601155,新城控股,详细 数据 资金流, 5.73 亿 ,18.54 万,6092.13 万,6236.66 万,-144.54 万,1.00 万,1.00 万,0,5.73 亿
600460,士兰微,详细 数据 资金流, 4.93 亿 ,19.55 万,0,145.55 万,-145.55 万,3.22 万,0,0,4.93 亿
600458,时代新材,详细 数据 资金流, 5.39 亿 ,21.16 万,1983.21 万,2129.13 万,-145.91 万,2.00 万,6600,2.62 万,5.39 亿
600676,交运股份,详细 数据 资金流, 1.25 亿 ,0,488.40 万,640.98 万,-152.57 万,0,0,0,1.25 亿
600489,中金黄金,详细 数据 资金流, 16.05 亿 ,455.68 万,1.52 亿,1.54 亿,-152.97 万,44.59 万,17.41 万,1.00 万,16.10 亿
600606,绿地控股,详细 数据 资金流, 21.47 亿 ,302.93 万,1.65 亿,1.66 亿,-153.38 万,41.44 万,9.21 万,2.01 万,21.50 亿
600642,申能股份,详细 数据 资金流, 5.59 亿 ,44.70 万,1560.58 万,1718.66 万,-158.08 万,7.21 万,0,0,5.60 亿
600289,亿阳信通,详细 数据 资金流, 6.75 亿 ,2.08 万,0,159.47 万,-159.47 万,1900,0,0,6.75 亿
600216,浙江医药,详细 数据 资金流, 6.79 亿 ,25.05 万,2103.87 万,2272.88 万,-169.01 万,2.64 万,2.43 万,1.51 万,6.79 亿
600058,五矿发展,详细 数据 资金流, 5.14 亿 ,109.28 万,2600.18 万,2771.06 万,-170.88 万,8.95 万,7.66 万,1.85 万,5.15 亿
601919,中远海控,详细 数据 资金流, 5.07 亿 ,113.89 万,0,171.39 万,-171.39 万,21.29 万,0,0,5.08 亿
600318,新力金融,详细 数据 资金流, 6.09 亿 ,0,0,173.04 万,-173.04 万,0,0,0,6.09 亿
600029,南方航空,详细 数据 资金流, 13.65 亿 ,916.94 万,6679.08 万,6854.01 万,-174.93 万,107.37 万,8.02 万,27.67 万,13.74 亿
601872,招商轮船,详细 数据 资金流, 6.16 亿 ,11.56 万,0,176.81 万,-176.81 万,2.24 万,0,0,6.16 亿
600620,天宸股份,详细 数据 资金流, 4.11 亿 ,14.20 万,655.94 万,833.39 万,-177.45 万,1.25 万,1.20 万,1.08 万,4.11 亿
600315,上海家化,详细 数据 资金流, 9.17 亿 ,328.98 万,2665.03 万,2851.95 万,-186.93 万,10.95 万,5100,5.44 万,9.20 亿
600703,三安光电,详细 数据 资金流, 9.11 亿 ,992.10 万,4927.15 万,5116.93 万,-189.78 万,52.72 万,16.76 万,12.11 万,9.21 亿
600976,健民集团,详细 数据 资金流, 3.74 亿 ,17.53 万,459.30 万,653.75 万,-194.46 万,6856,6800,6000,3.74 亿
600894,广日股份,详细 数据 资金流, 3.58 亿 ,0,1214.29 万,1411.95 万,-197.66 万,0,0,0,3.58 亿
600757,长江传媒,详细 数据 资金流, 5.13 亿 ,190.99 万,2436.58 万,2643.53 万,-206.95 万,27.25 万,9100,5700,5.15 亿
600067,冠城大通,详细 数据 资金流, 8.28 亿 ,7.10 万,2529.71 万,2746.13 万,-216.42 万,1.05 万,100,5100,8.28 亿
600033,福建高速,详细 数据 资金流, 1.76 亿 ,0,1111.72 万,1335.11 万,-223.39 万,0,0,0,1.76 亿
600716,凤凰股份,详细 数据 资金流, 4.42 亿 ,0,1294.72 万,1519.90 万,-225.19 万,0,0,0,4.42 亿
600592,龙溪股份,详细 数据 资金流, 4.77 亿 ,26.21 万,4361.31 万,4591.82 万,-230.51 万,2.80 万,2.80 万,4.00 万,4.78 亿
600999,招商证券,详细 数据 资金流, 12.00 亿 ,455.70 万,1.03 亿,1.05 亿,-232.75 万,26.22 万,4.51 万,3.69 万,12.05 亿
600639,浦东金桥,详细 数据 资金流, 3.40 亿 ,26.21 万,1321.40 万,1555.81 万,-234.40 万,1.47 万,1.47 万,800,3.41 亿
601021,春秋航空,详细 数据 资金流, 1.40 亿 ,0,745.26 万,990.62 万,-245.36 万,0,0,0,1.40 亿
600648,外高桥,详细 数据 资金流, 7.87 亿 ,77.95 万,673.22 万,919.23 万,-246.02 万,4.52 万,0,0,7.88 亿
600580,卧龙电气,详细 数据 资金流, 4.09 亿 ,10.01 万,2159.44 万,2406.85 万,-247.41 万,1.44 万,0,0,4.09 亿
600284,浦东建设,详细 数据 资金流, 2.67 亿 ,9.99 万,1048.67 万,1296.78 万,-248.10 万,9873,9800,5100,2.67 亿
600825,新华传媒,详细 数据 资金流, 6.00 亿 ,45.99 万,570.38 万,819.56 万,-249.18 万,6.99 万,0,0,6.01 亿
601888,中国国旅,详细 数据 资金流, 8.58 亿 ,273.34 万,2845.30 万,3100.38 万,-255.08 万,9.61 万,1.18 万,3.00 万,8.61 亿
600604,市北高新,详细 数据 资金流, 2.57 亿 ,46.95 万,564.44 万,819.70 万,-255.26 万,7.52 万,2.53 万,0,2.57 亿
600704,物产中大,详细 数据 资金流, 9.05 亿 ,110.89 万,4172.80 万,4429.07 万,-256.26 万,16.57 万,3.00 万,1950,9.07 亿
600073,上海梅林,详细 数据 资金流, 6.35 亿 ,18.40 万,1518.59 万,1774.87 万,-256.28 万,2.06 万,2.06 万,4900,6.35 亿
601608,中信重工,详细 数据 资金流, 5.32 亿 ,66.48 万,0,256.65 万,-256.65 万,12.00 万,0,0,5.32 亿
600761,安徽合力,详细 数据 资金流, 3.32 亿 ,5.17 万,1236.89 万,1494.43 万,-257.53 万,4000,0,1.15 万,3.32 亿
600502,安徽水利,详细 数据 资金流, 6.39 亿 ,65.56 万,2486.78 万,2746.69 万,-259.91 万,9.30 万,4.00 万,2.00 万,6.40 亿
600107,美尔雅,详细 数据 资金流, 5.98 亿 ,47.46 万,0,265.03 万,-265.03 万,3.28 万,0,0,5.99 亿
600350,山东高速,详细 数据 资金流, 2.66 亿 ,26.89 万,981.67 万,1247.45 万,-265.78 万,4.43 万,4.43 万,1.82 万,2.66 亿
601958,金钼股份,详细 数据 资金流, 4.83 亿 ,281.55 万,3260.81 万,3531.84 万,-271.03 万,38.41 万,14.78 万,9.15 万,4.85 亿
600410,华胜天成,详细 数据 资金流, 10.83 亿 ,38.76 万,2300.47 万,2572.50 万,-272.04 万,4.69 万,4.69 万,0,10.84 亿
600300,维维股份,详细 数据 资金流, 5.34 亿 ,27.90 万,1736.86 万,2018.46 万,-281.59 万,5.46 万,0,1.04 万,5.34 亿
600229,城市传媒,详细 数据 资金流, 3.49 亿 ,0,826.71 万,1113.21 万,-286.50 万,0,0,0,3.49 亿
600601,方正科技,详细 数据 资金流, 7.82 亿 ,7.56 万,2235.38 万,2526.82 万,-291.45 万,2.00 万,2.00 万,5.00 万,7.82 亿
600775,南京熊猫,详细 数据 资金流, 7.37 亿 ,32.01 万,1453.75 万,1755.35 万,-301.60 万,3.30 万,1.29 万,0,7.37 亿
600168,武汉控股,详细 数据 资金流, 1.33 亿 ,0,810.60 万,1116.79 万,-306.19 万,0,0,0,1.33 亿
600377,宁沪高速,详细 数据 资金流, 6809.73 万 ,70.28 万,270.44 万,577.63 万,-307.20 万,7.50 万,0,0,6880.00 万
600640,号百控股,详细 数据 资金流, 4.62 亿 ,27.00 万,540.47 万,849.32 万,-308.85 万,1.76 万,1.52 万,0,4.62 亿
600548,深高速,详细 数据 资金流, 5659.35 万 ,0,379.59 万,690.33 万,-310.74 万,0,0,0,5659.35 万
601390,中国中铁,详细 数据 资金流, 15.18 亿 ,823.43 万,6469.25 万,6795.14 万,-325.89 万,94.43 万,26.56 万,26.93 万,15.26 亿
600655,豫园商城,详细 数据 资金流, 5.16 亿 ,14.38 万,0,329.31 万,-329.31 万,1.27 万,0,0,5.16 亿
600801,华新水泥,详细 数据 资金流, 3.14 亿 ,387.36 万,6428.23 万,6761.40 万,-333.17 万,36.27 万,8.10 万,5.04 万,3.17 亿
600694,大商股份,详细 数据 资金流, 9.66 亿 ,8.32 万,2265.88 万,2604.20 万,-338.31 万,2200,1100,1100,9.66 亿
601999,出版传媒,详细 数据 资金流, 2.12 亿 ,13.34 万,0,346.78 万,-346.78 万,1.47 万,0,0,2.12 亿
600277,亿利洁能,详细 数据 资金流, 8.22 亿 ,56.61 万,0,349.04 万,-349.04 万,7.23 万,0,0,8.22 亿
600743,华远地产,详细 数据 资金流, 3.72 亿 ,11.76 万,1237.08 万,1597.13 万,-360.05 万,3.00 万,3.00 万,0,3.72 亿
600176,中国巨石,详细 数据 资金流, 11.64 亿 ,45.88 万,5552.50 万,5917.64 万,-365.14 万,4.45 万,1.87 万,7.60 万,11.64 亿
601991,大唐发电,详细 数据 资金流, 4.23 亿 ,578.10 万,2023.15 万,2400.66 万,-377.51 万,135.70 万,10.42 万,45.41 万,4.28 亿
600575,皖江物流,详细 数据 资金流, 3.43 亿 ,0,843.86 万,1222.59 万,-378.74 万,0,0,0,3.43 亿
600239,云南城投,详细 数据 资金流, 5.68 亿 ,135.75 万,0,381.77 万,-381.77 万,26.00 万,0,0,5.70 亿
600337,美克家居,详细 数据 资金流, 2.20 亿 ,6.60 万,814.17 万,1202.13 万,-387.96 万,1.20 万,1.20 万,0,2.20 亿
600486,扬农化工,详细 数据 资金流, 3.42 亿 ,114.52 万,1109.20 万,1503.41 万,-394.20 万,2.90 万,3700,0,3.43 亿
601618,中国中冶,详细 数据 资金流, 9.30 亿 ,427.64 万,9446.42 万,9854.90 万,-408.47 万,82.56 万,38.40 万,54.50 万,9.34 亿
603169,兰石重装,详细 数据 资金流, 1.65 亿 ,173.60 万,999.05 万,1409.60 万,-410.54 万,16.00 万,7.50 万,2.00 万,1.66 亿
600037,歌华有线,详细 数据 资金流, 7.72 亿 ,66.68 万,1832.94 万,2262.89 万,-429.95 万,4.89 万,4.77 万,5400,7.73 亿
601218,吉鑫科技,详细 数据 资金流, 4.50 亿 ,0,1134.14 万,1564.48 万,-430.34 万,0,0,0,4.50 亿
600805,悦达投资,详细 数据 资金流, 4.35 亿 ,0,872.10 万,1317.17 万,-445.07 万,0,0,0,4.35 亿
600543,莫高股份,详细 数据 资金流, 2.72 亿 ,10.44 万,678.99 万,1124.18 万,-445.19 万,9400,4400,0,2.72 亿
600018,上港集团,详细 数据 资金流, 4.40 亿 ,898.94 万,2184.87 万,2632.25 万,-447.38 万,134.17 万,12.32 万,19.50 万,4.49 亿
601318,中国平安,详细 数据 资金流, 133.73 亿 ,1.64 亿,11.13 亿,11.17 亿,-448.79 万,303.49 万,39.07 万,32.63 万,135.37 亿
600116,三峡水利,详细 数据 资金流, 6.62 亿 ,160.81 万,2861.92 万,3311.38 万,-449.45 万,16.51 万,16.28 万,3.28 万,6.64 亿
600572,康恩贝,详细 数据 资金流, 5.21 亿 ,7238,906.06 万,1355.82 万,-449.76 万,1100,0,1.36 万,5.21 亿
600333,长春燃气,详细 数据 资金流, 3.21 亿 ,0,835.10 万,1285.89 万,-450.79 万,0,0,0,3.21 亿
600759,洲际油气,详细 数据 资金流, 6.18 亿 ,599.09 万,1537.75 万,1988.83 万,-451.08 万,110.94 万,11.98 万,600,6.24 亿
601777,力帆股份,详细 数据 资金流, 6.81 亿 ,8.38 万,1658.03 万,2113.41 万,-455.38 万,1.10 万,1.00 万,0,6.81 亿
600098,广州发展,详细 数据 资金流, 5.85 亿 ,26.94 万,912.00 万,1372.68 万,-460.68 万,3.69 万,3.40 万,500,5.85 亿
601588,北辰实业,详细 数据 资金流, 3.97 亿 ,34.74 万,714.70 万,1186.97 万,-472.27 万,6.00 万,6.00 万,0,3.97 亿
600220,江苏阳光,详细 数据 资金流, 4.22 亿 ,0,704.09 万,1177.01 万,-472.93 万,0,0,0,4.22 亿
603188,亚邦股份,详细 数据 资金流, 2.21 亿 ,0,1165.19 万,1639.61 万,-474.41 万,0,0,0,2.21 亿
600481,双良节能,详细 数据 资金流, 5.21 亿 ,0,1526.30 万,2003.43 万,-477.13 万,0,0,0,5.21 亿
600880,博瑞传播,详细 数据 资金流, 6.64 亿 ,38.25 万,1753.67 万,2232.73 万,-479.06 万,6.55 万,0,0,6.64 亿
601388,怡球资源,详细 数据 资金流, 4.04 亿 ,1.19 万,3593.11 万,4078.94 万,-485.82 万,3000,3000,0,4.04 亿
601996,丰林集团,详细 数据 资金流, 3.67 亿 ,220.59 万,1654.36 万,2144.57 万,-490.20 万,49.46 万,8.00 万,500,3.70 亿
600651,飞乐音响,详细 数据 资金流, 5.52 亿 ,18.52 万,1591.24 万,2086.98 万,-495.74 万,2.18 万,1.38 万,3500,5.52 亿
601985,中国核电,详细 数据 资金流, 5.78 亿 ,73.82 万,6076.62 万,6576.41 万,-499.79 万,9.38 万,3.78 万,1.74 万,5.79 亿
600063,皖维高新,详细 数据 资金流, 5.01 亿 ,0,2169.91 万,2681.99 万,-512.09 万,0,0,0,5.01 亿
600557,康缘药业,详细 数据 资金流, 4.05 亿 ,35.11 万,892.43 万,1408.52 万,-516.08 万,2.16 万,1.14 万,8900,4.06 亿
600662,强生控股,详细 数据 资金流, 5.89 亿 ,94.64 万,932.73 万,1452.94 万,-520.21 万,13.00 万,13.00 万,0,5.90 亿
600585,海螺水泥,详细 数据 资金流, 7.99 亿 ,814.45 万,7024.49 万,7550.49 万,-526.00 万,35.01 万,10.38 万,2.58 万,8.07 亿
600827,百联股份,详细 数据 资金流, 8.67 亿 ,397.89 万,5510.04 万,6036.34 万,-526.30 万,26.83 万,7.27 万,1.40 万,8.71 亿
600521,华海药业,详细 数据 资金流, 5.11 亿 ,28.32 万,577.29 万,1104.14 万,-526.85 万,1.39 万,1800,3.84 万,5.11 亿
600718,东软集团,详细 数据 资金流, 13.73 亿 ,256.31 万,3425.11 万,3952.89 万,-527.78 万,17.65 万,10.90 万,300,13.75 亿
600175,美都能源,详细 数据 资金流, 3.87 亿 ,0,2462.58 万,2995.27 万,-532.69 万,0,0,0,3.87 亿
601515,东风股份,详细 数据 资金流, 7255.64 万 ,0,96.06 万,631.24 万,-535.18 万,0,0,0,7255.64 万
600078,澄星股份,详细 数据 资金流, 4.09 亿 ,2316,953.07 万,1495.83 万,-542.76 万,400,400,0,4.09 亿
601311,骆驼股份,详细 数据 资金流, 4.25 亿 ,68.60 万,1081.86 万,1625.19 万,-543.33 万,5.00 万,1.81 万,1.81 万,4.26 亿
600062,华润双鹤,详细 数据 资金流, 2.92 亿 ,139.38 万,1472.82 万,2017.36 万,-544.54 万,6.75 万,4800,560,2.93 亿
600389,江山股份,详细 数据 资金流, 2.02 亿 ,0,1020.21 万,1570.41 万,-550.20 万,0,0,0,2.02 亿
600835,上海机电,详细 数据 资金流, 3.96 亿 ,39.34 万,1597.44 万,2155.28 万,-557.84 万,1.92 万,7900,1.46 万,3.97 亿
600537,亿晶光电,详细 数据 资金流, 6.44 亿 ,2.64 万,1366.26 万,1935.79 万,-569.53 万,5800,0,0,6.44 亿
600568,中珠医疗,详细 数据 资金流, 7.00 亿 ,19.50 万,0,576.53 万,-576.53 万,2.86 万,0,0,7.00 亿
600804,鹏博士,详细 数据 资金流, 32.26 亿 ,444.34 万,2476.30 万,3059.72 万,-583.42 万,27.56 万,10.40 万,1.87 万,32.31 亿
600777,新潮能源,详细 数据 资金流, 9.16 亿 ,0,695.16 万,1284.20 万,-589.03 万,0,0,0,9.16 亿
601929,吉视传媒,详细 数据 资金流, 5.34 亿 ,269.85 万,1989.06 万,2598.92 万,-609.86 万,83.03 万,50.41 万,9.00 万,5.37 亿
600667,太极实业,详细 数据 资金流, 7.53 亿 ,0,3710.36 万,4323.70 万,-613.34 万,0,0,0,7.53 亿
600088,中视传媒,详细 数据 资金流, 3.58 亿 ,35.57 万,702.29 万,1323.80 万,-621.51 万,2.37 万,1600,1.17 万,3.59 亿
600846,同济科技,详细 数据 资金流, 5.36 亿 ,0,2604.74 万,3229.81 万,-625.07 万,0,0,0,5.36 亿
600873,梅花生物,详细 数据 资金流, 7.26 亿 ,41.70 万,4088.70 万,4714.22 万,-625.52 万,7.29 万,2000,0,7.26 亿
600661,新南洋,详细 数据 资金流, 2.66 亿 ,205.14 万,693.34 万,1322.01 万,-628.68 万,10.45 万,4400,1500,2.69 亿
600206,有研新材,详细 数据 资金流, 7.28 亿 ,32.05 万,2304.11 万,2935.84 万,-631.73 万,3.74 万,0,0,7.28 亿
600776,东方通信,详细 数据 资金流, 4.44 亿 ,18.38 万,1346.30 万,1978.29 万,-631.98 万,2.97 万,3400,300,4.44 亿
601600,中国铝业,详细 数据 资金流, 14.81 亿 ,516.75 万,2.66 亿,2.72 亿,-637.02 万,100.34 万,55.10 万,49.74 万,14.87 亿
600795,国电电力,详细 数据 资金流, 10.67 亿 ,2336.10 万,0,637.14 万,-637.14 万,669.37 万,0,0,10.90 亿
600209,罗顿发展,详细 数据 资金流, 5.39 亿 ,538.77 万,0,641.86 万,-641.86 万,40.57 万,0,0,5.44 亿
600267,海正药业,详细 数据 资金流, 5.47 亿 ,38.66 万,1186.96 万,1850.85 万,-663.90 万,3.35 万,8300,6000,5.48 亿
601118,海南橡胶,详细 数据 资金流, 9.39 亿 ,66.18 万,0,683.08 万,-683.08 万,11.47 万,0,7.49 万,9.40 亿
600330,天通股份,详细 数据 资金流, 7.63 亿 ,11.21 万,3318.32 万,4008.31 万,-690.00 万,1.35 万,3500,0,7.63 亿
600336,澳柯玛,详细 数据 资金流, 4.75 亿 ,2.25 万,1474.89 万,2174.55 万,-699.66 万,3900,0,0,4.75 亿
600382,广东明珠,详细 数据 资金流, 5.72 亿 ,5.14 万,661.18 万,1362.46 万,-701.28 万,3734,3700,1.32 万,5.72 亿
600186,莲花健康,详细 数据 资金流, 4.37 亿 ,3.48 万,718.98 万,1428.21 万,-709.23 万,9500,0,0,4.37 亿
600808,马钢股份,详细 数据 资金流, 5.31 亿 ,96.90 万,7074.83 万,7789.28 万,-714.45 万,24.11 万,5.00 万,17.00 万,5.32 亿
600633,浙数文化,详细 数据 资金流, 5.59 亿 ,56.58 万,2511.44 万,3242.13 万,-730.69 万,3.10 万,0,1.80 万,5.60 亿
601099,太平洋,详细 数据 资金流, 17.44 亿 ,166.03 万,8608.97 万,9346.41 万,-737.44 万,43.12 万,0,100,17.46 亿
600720,祁连山,详细 数据 资金流, 8.54 亿 ,235.65 万,7723.70 万,8473.46 万,-749.77 万,25.98 万,4.44 万,10.50 万,8.56 亿
600498,烽火通信,详细 数据 资金流, 5.06 亿 ,87.13 万,1731.90 万,2492.67 万,-760.77 万,3.71 万,2.10 万,3500,5.07 亿
600478,科力远,详细 数据 资金流, 9.04 亿 ,83.72 万,2024.86 万,2789.26 万,-764.40 万,9.99 万,5.17 万,0,9.05 亿
600722,金牛化工,详细 数据 资金流, 3.57 亿 ,279.97 万,1645.59 万,2413.02 万,-767.43 万,30.80 万,4.81 万,9.94 万,3.60 亿
600895,张江高科,详细 数据 资金流, 11.22 亿 ,259.39 万,1607.97 万,2376.67 万,-768.69 万,15.87 万,5.61 万,3600,11.24 亿
600185,格力地产,详细 数据 资金流, 5.85 亿 ,16.15 万,3144.31 万,3917.16 万,-772.85 万,2.60 万,2.38 万,14.00 万,5.85 亿
600426,华鲁恒升,详细 数据 资金流, 3.03 亿 ,74.45 万,1142.63 万,1917.40 万,-774.77 万,6.72 万,0,0,3.03 亿
600526,菲达环保,详细 数据 资金流, 4.03 亿 ,9.87 万,1525.54 万,2300.88 万,-775.34 万,1.06 万,1.05 万,5.73 万,4.03 亿
600380,健康元,详细 数据 资金流, 6.67 亿 ,3.86 万,1403.56 万,2181.52 万,-777.96 万,4600,4100,0,6.67 亿
600422,昆药集团,详细 数据 资金流, 5.57 亿 ,18.29 万,1688.08 万,2467.26 万,-779.18 万,1.72 万,4000,5900,5.57 亿
600771,广誉远,详细 数据 资金流, 4.97 亿 ,68.64 万,1504.44 万,2292.16 万,-787.72 万,1.90 万,1.48 万,0,4.98 亿
600316,洪都航空,详细 数据 资金流, 6.81 亿 ,84.27 万,2682.83 万,3482.50 万,-799.67 万,5.71 万,1.50 万,5.50 万,6.82 亿
600872,中炬高新,详细 数据 资金流, 4.04 亿 ,1340.91 万,1198.47 万,1998.20 万,-799.73 万,74.91 万,5.46 万,10.06 万,4.17 亿
600470,六国化工,详细 数据 资金流, 4.91 亿 ,0,703.57 万,1522.88 万,-819.32 万,0,0,0,4.91 亿
600119,长江投资,详细 数据 资金流, 4.93 亿 ,224.54 万,1592.61 万,2417.49 万,-824.87 万,17.11 万,7.37 万,0,4.95 亿
601000,唐山港,详细 数据 资金流, 7.83 亿 ,191.20 万,4383.58 万,5211.67 万,-828.09 万,39.10 万,24.10 万,18.10 万,7.85 亿
600166,福田汽车,详细 数据 资金流, 12.40 亿 ,981.66 万,3829.00 万,4657.64 万,-828.64 万,351.85 万,17.50 万,0,12.49 亿
600292,远达环保,详细 数据 资金流, 6.41 亿 ,69.20 万,1591.82 万,2430.13 万,-838.30 万,6.97 万,6.70 万,1.47 万,6.42 亿
600222,太龙药业,详细 数据 资金流, 4.07 亿 ,0,1065.19 万,1904.85 万,-839.66 万,0,0,0,4.07 亿
601877,正泰电器,详细 数据 资金流, 3.99 亿 ,17.80 万,866.13 万,1714.81 万,-848.68 万,9399,4500,1.15 万,3.99 亿
600566,济川药业,详细 数据 资金流, 1.63 亿 ,72.00 万,1337.96 万,2197.29 万,-859.33 万,2.00 万,0,0,1.64 亿
600198,大唐电信,详细 数据 资金流, 9.90 亿 ,138.13 万,2940.22 万,3821.08 万,-880.86 万,11.23 万,7.65 万,2.79 万,9.92 亿
600823,世茂股份,详细 数据 资金流, 4.55 亿 ,16.50 万,2660.23 万,3549.33 万,-889.10 万,3.32 万,1.08 万,0,4.55 亿
600418,江淮汽车,详细 数据 资金流, 8.84 亿 ,174.11 万,2870.22 万,3762.67 万,-892.45 万,17.88 万,2.59 万,2.73 万,8.85 亿
601666,平煤股份,详细 数据 资金流, 5.12 亿 ,0,5948.72 万,6844.12 万,-895.40 万,0,0,0,5.12 亿
600744,华银电力,详细 数据 资金流, 2.93 亿 ,0,914.58 万,1814.37 万,-899.80 万,0,0,0,2.93 亿
