代码,证券简称,相关资料, 融资余额(元) ,融券余额(元),融资买入额(元),融资偿还额(元),融资净买额(元),融券余量,融券卖出量,融券偿还量,融资融券余额(元)
601636,旗滨集团,详细 数据 资金流, 8761.80 万 ,0,3873.15 万,1706.95 万,2166.20 万,0,0,0,8761.80 万
600376,首开股份,详细 数据 资金流, 7.33 亿 ,56.88 万,5170.52 万,3017.24 万,2153.28 万,5.09 万,3.99 万,1.12 万,7.34 亿
600123,兰花科创,详细 数据 资金流, 7.19 亿 ,121.90 万,8715.75 万,6596.92 万,2118.84 万,15.20 万,2.73 万,800,7.20 亿
600068,葛洲坝,详细 数据 资金流, 16.17 亿 ,154.92 万,1.73 亿,1.52 亿,2105.60 万,14.02 万,4.60 万,3.33 万,16.19 亿
600352,浙江龙盛,详细 数据 资金流, 12.11 亿 ,217.16 万,1.38 亿,1.18 亿,2089.85 万,22.25 万,14.95 万,6.59 万,12.13 亿
600219,南山铝业,详细 数据 资金流, 11.43 亿 ,213.59 万,1.39 亿,1.18 亿,2087.76 万,61.73 万,54.00 万,0,11.45 亿
600395,盘江股份,详细 数据 资金流, 3.72 亿 ,179.29 万,5849.06 万,3766.09 万,2082.96 万,23.07 万,20.49 万,10.00 万,3.74 亿
600582,天地科技,详细 数据 资金流, 3.98 亿 ,25.79 万,3947.94 万,2096.04 万,1851.90 万,5.63 万,2.35 万,5.15 万,3.98 亿
600578,京能电力,详细 数据 资金流, 3.73 亿 ,10.44 万,3144.69 万,1297.73 万,1846.96 万,2.45 万,2.39 万,0,3.73 亿
601800,中国交建,详细 数据 资金流, 8.84 亿 ,1033.54 万,1.07 亿,8916.18 万,1825.11 万,62.68 万,23.14 万,13.88 万,8.95 亿
600837,海通证券,详细 数据 资金流, 27.97 亿 ,7168.06 万,1.14 亿,9608.58 万,1751.63 万,481.40 万,135.10 万,125.58 万,28.69 亿
600449,宁夏建材,详细 数据 资金流, 4.96 亿 ,194.57 万,6788.36 万,5044.20 万,1744.17 万,18.10 万,14.10 万,3.00 万,4.98 亿
600773,西藏城投,详细 数据 资金流, 7.47 亿 ,200.31 万,1.13 亿,9685.69 万,1618.20 万,16.50 万,3.50 万,6.60 万,7.49 亿
600011,华能国际,详细 数据 资金流, 3.47 亿 ,144.93 万,3060.03 万,1473.82 万,1586.21 万,20.47 万,17.93 万,15.97 万,3.48 亿
600122,宏图高科,详细 数据 资金流, 3958.27 万 ,0,1851.92 万,288.79 万,1563.13 万,0,0,0,3958.27 万
600971,恒源煤电,详细 数据 资金流, 4.92 亿 ,36.10 万,1.26 亿,1.11 亿,1547.30 万,3.65 万,2.50 万,5.50 万,4.92 亿
600729,重庆百货,详细 数据 资金流, 5.54 亿 ,10.47 万,4021.45 万,2498.19 万,1523.25 万,4100,0,7400,5.54 亿
600362,江西铜业,详细 数据 资金流, 16.17 亿 ,485.40 万,2.09 亿,1.94 亿,1487.24 万,28.32 万,17.58 万,12.63 万,16.22 亿
601211,国泰君安,详细 数据 资金流, 11.35 亿 ,3850.58 万,1.72 亿,1.58 亿,1438.44 万,185.57 万,98.73 万,153.22 万,11.73 亿
601225,陕西煤业,详细 数据 资金流, 11.41 亿 ,183.19 万,2.95 亿,2.81 亿,1433.52 万,23.16 万,3.60 万,6.19 万,11.43 亿
600787,中储股份,详细 数据 资金流, 8.05 亿 ,53.22 万,1.68 亿,1.54 亿,1427.92 万,6.11 万,1.83 万,10.68 万,8.06 亿
600297,广汇汽车,详细 数据 资金流, 4.94 亿 ,0,4779.46 万,3380.48 万,1398.98 万,0,0,0,4.94 亿
600886,国投电力,详细 数据 资金流, 13.66 亿 ,358.09 万,6231.07 万,4961.39 万,1269.68 万,44.65 万,13.77 万,4.22 万,13.69 亿
600138,中青旅,详细 数据 资金流, 3.94 亿 ,127.19 万,1973.65 万,749.84 万,1223.81 万,6.26 万,1.01 万,3100,3.95 亿
600595,中孚实业,详细 数据 资金流, 3.36 亿 ,41.61 万,4025.12 万,2804.60 万,1220.52 万,8.24 万,7.24 万,2.00 万,3.36 亿
600811,东方集团,详细 数据 资金流, 8.19 亿 ,16.15 万,3278.36 万,2190.06 万,1088.30 万,2.50 万,2.41 万,1900,8.19 亿
510300,300ETF,详细数据 资金流, 175.56 亿 ,3.59 亿,6825.08 万,5754.21 万,1070.87 万,9704.12 万,2912.02 万,2187.16 万,179.16 亿
600177,雅戈尔,详细 数据 资金流, 14.70 亿 ,281.49 万,1.09 亿,9825.51 万,1058.09 万,27.87 万,3900,8200,14.73 亿
600094,大名城,详细 数据 资金流, 5.99 亿 ,11.21 万,1841.30 万,845.99 万,995.30 万,1.50 万,0,0,5.99 亿
600288,大恒科技,详细 数据 资金流, 7.18 亿 ,72.93 万,5308.80 万,4328.12 万,980.68 万,7.31 万,2.03 万,7100,7.19 亿
600269,赣粤高速,详细 数据 资金流, 2.53 亿 ,0,2425.15 万,1462.42 万,962.73 万,0,0,0,2.53 亿
600162,香江控股,详细 数据 资金流, 2901.52 万 ,0,1324.02 万,369.01 万,955.01 万,0,0,0,2901.52 万
600171,上海贝岭,详细 数据 资金流, 8.44 亿 ,33.29 万,4885.73 万,3962.91 万,922.82 万,3.03 万,4500,9.87 万,8.45 亿
601168,西部矿业,详细 数据 资金流, 12.36 亿 ,87.89 万,1.03 亿,9426.94 万,904.28 万,10.81 万,1400,1800,12.36 亿
